account_id,amount,payment_date,downpayment_amount,prev_account_id,global_amount,is_downpayment,prev_is_downpayment,downpayment,installments
003bd701,4999,1/30/2020,4999,,4999,equal to downpayment,,4999,0
0061e46b,9000,10/2/2019,9900,,9000,less than downpayment,,9000,0
0061e46b,900,10/4/2019,9900,0061e46b,9900,equal to downpayment,less than downpayment,900,0
00661fce,8900,1/17/2020,8900,,8900,equal to downpayment,,8900,0
00aok0H0,10000,9/17/2018,10000,,10000,equal to downpayment,,10000,0
00aok0H0,3000,10/17/2018,10000,00aok0H0,13000,more than downpayment,equal to downpayment,0,3000
00aok0H0,1500,10/18/2018,10000,00aok0H0,14500,more than downpayment,more than downpayment,0,1500
00aok0H0,4500,11/16/2018,10000,00aok0H0,19000,more than downpayment,more than downpayment,0,4500
00aok0H0,4500,12/18/2018,10000,00aok0H0,23500,more than downpayment,more than downpayment,0,4500
00aok0H0,4500,1/21/2019,10000,00aok0H0,28000,more than downpayment,more than downpayment,0,4500
00aok0H0,3000,3/11/2019,10000,00aok0H0,31000,more than downpayment,more than downpayment,0,3000
00cc3ce9,8000,9/30/2019,7900,,8000,more than downpayment,,7900,100
00cc3ce9,3500,12/1/2019,7900,00cc3ce9,11500,more than downpayment,more than downpayment,0,3500
00cc3ce9,1600,1/20/2020,7900,00cc3ce9,13100,more than downpayment,more than downpayment,0,1600
00cc3ce9,7000,1/27/2020,7900,00cc3ce9,20100,more than downpayment,more than downpayment,0,7000
0119d931,8900,12/23/2019,8900,,8900,equal to downpayment,,8900,0
012f09c9,150,1/25/2020,9900,,150,less than downpayment,,150,0
012f09c9,100,1/31/2020,9900,012f09c9,250,less than downpayment,less than downpayment,100,0
012f09c9,200,2/6/2020,9900,012f09c9,450,less than downpayment,less than downpayment,200,0
01GZZ1SG,10000,8/6/2017,10000,,10000,equal to downpayment,,10000,0
01GZZ1SG,3000,9/15/2017,10000,01GZZ1SG,13000,more than downpayment,equal to downpayment,0,3000
01GZZ1SG,3500,10/16/2017,10000,01GZZ1SG,16500,more than downpayment,more than downpayment,0,3500
01GZZ1SG,3500,11/15/2017,10000,01GZZ1SG,20000,more than downpayment,more than downpayment,0,3500
01GZZ1SG,3500,12/12/2017,10000,01GZZ1SG,23500,more than downpayment,more than downpayment,0,3500
01GZZ1SG,3500,1/16/2018,10000,01GZZ1SG,27000,more than downpayment,more than downpayment,0,3500
01GZZ1SG,4000,2/20/2018,10000,01GZZ1SG,31000,more than downpayment,more than downpayment,0,4000
01GZZ1SG,3500,3/15/2018,10000,01GZZ1SG,34500,more than downpayment,more than downpayment,0,3500
01GZZ1SG,3500,4/5/2018,10000,01GZZ1SG,38000,more than downpayment,more than downpayment,0,3500
01GZZ1SG,3500,5/18/2018,10000,01GZZ1SG,41500,more than downpayment,more than downpayment,0,3500
01GZZ1SG,3500,6/19/2018,10000,01GZZ1SG,45000,more than downpayment,more than downpayment,0,3500
0257ab67,4999,12/18/2019,4999,,4999,equal to downpayment,,4999,0
0283aef7,9900,10/16/2019,9900,,9900,equal to downpayment,,9900,0
0283aef7,4000,12/4/2019,9900,0283aef7,13900,more than downpayment,equal to downpayment,0,4000
0283aef7,4000,1/2/2020,9900,0283aef7,17900,more than downpayment,more than downpayment,0,4000
0283aef7,4000,2/5/2020,9900,0283aef7,21900,more than downpayment,more than downpayment,0,4000
02a24969,9900,11/26/2019,9900,,9900,equal to downpayment,,9900,0
033fbccf,9900,10/26/2019,8900,,9900,more than downpayment,,8900,1000
033fbccf,10000,11/21/2019,8900,033fbccf,19900,more than downpayment,more than downpayment,0,10000
043cf9a6,9900,10/2/2019,9900,,9900,equal to downpayment,,9900,0
043cf9a6,3900,11/16/2019,9900,043cf9a6,13800,more than downpayment,equal to downpayment,0,3900
043cf9a6,1500,12/15/2019,9900,043cf9a6,15300,more than downpayment,more than downpayment,0,1500
043cf9a6,2400,1/7/2020,9900,043cf9a6,17700,more than downpayment,more than downpayment,0,2400
